# Light Tower Group — Qualifying Building Targets
# Generated: 2026-03-16
# Borough: Both | Min units: 100 | Built: 1990+ | Likely loan maturing 2026-2028
# Total qualifying: 274
#
# HOW TO USE:
#   cd scripts
#   python generate_building.py --batch qualified_buildings.txt
#
# Format: address line preceded by a comment with key stats
#-----------------------------------------------------------------

# 2023 | 1641 units | $25.0M MTGE filed 2022-05
395 Carroll St, Brooklyn

# 1994 | 973 units | $55.0M MTGE filed 2019-03
75 West End Avenue, Manhattan

# 2020 | 938 units | $350.2M MTGE filed 2019-05
311 11Th Avenue, Manhattan

# 1999 | 921 units | $5.0M MTGE filed 2021-07
1 River Place, Manhattan

# 2007 | 835 units | $374.4M MTGE filed 2020-05
505 West 37 Street, Manhattan

# 2023 | 834 units | $280.0M MTGE filed 2022-12
0 West Street, Brooklyn

# 2022 | 812 units | $241.3M MTGE filed 2021-09
625 Fulton Street, Brooklyn

# 2014 | 761 units | $161.4M MTGE filed 2022-03
626 1 Avenue, Manhattan

# 2014 | 750 units | $30.0M MTGE filed 2019-03
350 Livingston Street, Brooklyn

# 2020 | 745 units | $400.0M MTGE filed 2022-11
1 Eagle Street, Brooklyn

# 1997 | 729 units | $81.2M MTGE filed 2016-05
400 West 59 Street, Manhattan

# 2013 | 710 units | $60.0M MTGE filed 2021-11
539 West 28 Street, Manhattan

# 2024 | 654 units | $7.0M MTGE filed 2020-04
498 Union Street, Brooklyn

# 2024 | 640 units | $1.5M MTGE filed 2022-03
600 Dekalb Avenue, Brooklyn

# 2023 | 611 units | $4.5M MTGE filed 2023-01
375 West 207 Street, Manhattan

# 2016 | 605 units | $36.4M MTGE filed 2020-08
420 Kent Avenue, Brooklyn

# 2023 | 591 units | $154.7M MTGE filed 2022-08
589 Fulton Street, Brooklyn

# 2020 | 590 units | $218.7M MTGE filed 2019-12
476 11 Avenue, Manhattan

# 2024 | 569 units | $3.1M MTGE filed 2016-12
54 Crown Street, Brooklyn

# 2023 | 569 units | $214.4M MTGE filed 2022-05
180 Ashland Place, Brooklyn

# 2020 | 554 units | $192.3M MTGE filed 2019-12
Oak Street, Brooklyn

# 2016 | 509 units | $21.5M MTGE filed 2016-07
1 North 4 Place, Brooklyn

# 2017 | 500 units | $62.4M MTGE filed 2019-08
10 Montieth Street, Brooklyn

# 1992 | 491 units | $2.0M MTGE filed 2022-02
90 Sands Street, Brooklyn

# 2023 | 490 units | $32.0M MTGE filed 2022-10
1440 Amsterdam Avenue, Manhattan

# 2016 | 483 units | $55.8M MTGE filed 2019-05
114 Fulton Street, Manhattan

# 2021 | 480 units | $118.3M MTGE filed 2021-12
241 West 28 Street, Manhattan

# 2023 | 474 units | $172.3M MTGE filed 2022-08
430 West 207 Street, Manhattan

# 2019 | 468 units | $45.0M MTGE filed 2018-08
123 Melrose Street, Brooklyn

